director_id;name
nm0084580;Gérard Bitton
nm0613351;Michel Munz
nm0733263;Adam Robitel
nm1820881;Will Wernick
nm0494103;Yvan Le Bolloc'h
nm0813219;Bruno Solo
nm0151125;Teddy Chan
nm0808807;John N. Smith
nm0553237;Pierre-François Martin-Laval
nm0068587;William Brent Bell
nm0190859;Alfonso Cuarón
nm0654830;François Ozon
nm0327273;Michel Gondry
nm0210101;Renato De Maria
nm1410815;Asghar Farhadi
nm3453283;Daniel Kwan
nm3215397;Daniel Scheinert
nm2091846;Lee Cronin
nm0607831;Koen Mortier
nm0238865;Frederik Du Chau
nm6940206;Jang Jae-hyun
nm0922346;Simon West
nm0000230;Sylvester Stallone
nm0001102;Joe Dante
nm1587778;Ben Young
nm2040027;Nir Paniry
nm0000076;François Truffaut
nm0634602;Tetsuya Nomura
nm1481959;Takeshi Nozue
nm2132542;Chloe Domont
nm0244011;André van Duren
nm1968474;Ford Beebe Jr.
nm0359610;Jim Handley
nm0373429;T. Hee
nm0322368;Francis Glebas
nm0325196;Eric Goldberg
nm0353893;Don Hahn
nm0402563;Pixote Hunt
nm0402161;André Hunebelle
nm0853404;Haroun Tazieff
nm0653620;Gérard Oury
nm0510912;Justin Lin
nm0959034;Joel Zwick
nm0276169;Tom Holland
nm0005348;Carl Reiner
nm1938064;Deon Taylor
nm2634746;Tyler Spindel
nm6793979;Rosalind Ross
nm0004693;Lou Adler
nm0001045;Tommy Chong
nm0005540;Keenen Ivory Wayans
nm4074404;Leigh Janiak
nm0000243;Denzel Washington
nm0462895;David Koepp
nm0000033;Alfred Hitchcock
nm0757858;Carlos Saldanha
nm0192933;Andrew Currie
nm0629216;Phil Nibbelink
nm0920425;Simon Wells
nm0619715;Omar Naim
nm0701650;György Pálfi
nm0756983;Hironobu Sakaguchi
nm1012102;Motonori Sakakibara
nm0847859;David E. Talbert
nm0036349;Andrea Arnold
nm0150906;Gordon Chan
nm0331868;Igor Gotesman
nm0388198;Mike Hodges
