movie_id;prod_id
tt0016240;co0609084
tt0016240;co0733304
tt0016240;co0733305
tt0016240;co0735450
tt0016241;co0047752
tt0016258;co0047752
tt0016276;co0129054
tt0016288;co0028775
tt0016294;co0009225
tt0016308;co0023400
tt0016309;co0007143
tt0016310;co0026612
tt0016332;co0081891
tt0016338;co0146254
tt0016338;co0148489
tt0016338;co0164649
tt0016377;co0110876
tt0016392;co0261035
tt0016394;co0023400
tt0016395;co0016710
tt0016461;co0071041
tt0016473;co0007143
tt0016480;co0023400
tt0016481;co0021661
tt0016491;co0084285
tt0016491;co0542282
tt0016491;co0542283
tt0016493;co0055191
tt0016544;co0072209
tt0016545;co0129056
tt0016548;co0023400
tt0016559;co0127516
tt0016560;co0007143
tt0016560;co0073404
tt0016563;co0021661
tt0016627;co0007143
tt0016629;co0203140
tt0016629;co0220115
tt0016630;co0081891
tt0016634;co0023400
tt0016640;co0072209
tt0016643;co0002663
tt0016646;co0007143
tt0016646;co0073404
tt0016654;co0004763
tt0016655;co0007143
tt0016664;co0028775
tt0016669;co0007143
tt0016672;co0007143
tt0016690;co0007143
tt0016762;co0023400
tt0016804;co0002663
tt0016822;co0061955
tt0016827;co0009225
tt0016832;co0007143
tt0016847;co0021661
tt0016854;co0028775
tt0016871;co0023400
tt0016884;co0007143
tt0016895;co0137892
tt0016914;co0040010
tt0016939;co0148487
tt0016947;co0023400
tt0016953;co0005892
tt0016953;co0021661
tt0016971;co0040434
tt0017004;co0023400
tt0017028;co0047533
tt0017029;co0077055
tt0017048;co0029903
tt0017048;co0139537
tt0017048;co0365149
tt0017075;co0103051
tt0017075;co0186103
tt0017082;co0047533
tt0017096;co0009815
tt0017096;co0054159
tt0017096;co0605590
tt0017103;co0047752
tt0017119;co0023400
tt0017120;co0047752
tt0017128;co0127516
tt0017136;co0021661
tt0017159;co0127516
tt0017184;co0135377
tt0017195;co0045536
tt0017195;co0114128
tt0017196;co0085570
tt0017198;co0038806
tt0017198;co0103020
tt0017226;co0023400
tt0017271;co0114101
tt0017293;co0127516
tt0017329;co0007143
tt0017338;co0030012
tt0017350;co0007143
tt0017354;co0002663
tt0017374;co0028775
tt0017378;co0057795
tt0017382;co0023400
tt0017409;co0002663
tt0017410;co0023400
tt0017416;co0203140
tt0017419;co0023400
tt0017419;co0054813
tt0017423;co0046466
tt0017437;co0110878
tt0017438;co0125646
tt0017448;co0021661
tt0017449;co0007143
tt0017449;co0073404
tt0017463;co0028775
tt0017480;co0007143
tt0017480;co0073404
tt0017483;co0110878
tt0017519;co0009225
tt0017534;co0007143
tt0017540;co0028775
tt0017567;co0016710
tt0017619;co0009225
tt0017621;co0155102
tt0017632;co0007143
tt0017653;co0114100
tt0017662;co0023400
tt0017667;co0203140
tt0017726;co0244245
tt0017735;co0007143
tt0017735;co0073404
tt0017736;co0005865
tt0017736;co0019993
tt0017736;co0286902
tt0017739;co0005073
tt0017750;co0009225
tt0017751;co0047533
tt0017765;co0000357
tt0017809;co0127516
tt0017825;co0103051
tt0017832;co0041460
tt0017843;co0103051
tt0017860;co0007143
tt0017860;co0073404
tt0017886;co0002663
tt0017918;co0004763
tt0017925;co0000357
tt0017925;co0081891
tt0017928;co0048343
tt0017938;co0064928
tt0017961;co0054240
tt0017998;co0053065
tt0018014;co0023400
tt0018016;co0023400
tt0018033;co0023400
tt0018037;co0002663
tt0018045;co0043533
tt0018051;co0389771
tt0018054;co0009225
tt0018066;co0127516
tt0018087;co0021661
tt0018097;co0007143
tt0018102;co0110878
tt0018107;co0007143
tt0018113;co0001555
tt0018138;co0007143
tt0018166;co0007143
tt0018179;co0007143
tt0018183;co0064360
tt0018192;co0016449
tt0018192;co0065371
tt0018192;co0081403
tt0018192;co0158814
tt0018192;co0522900
tt0018192;co0596905
tt0018217;co0114100
tt0018218;co0002663
tt0018235;co0061955
tt0018247;co0028775
tt0018253;co0041460
tt0018268;co0127516
tt0018297;co0007143
tt0018297;co0073404
tt0018311;co0007143
