movie_id;genre_id
tt0012769;9
tt0012806;9
tt0012928;9
tt0012928;20
tt0012938;9
tt0012938;20
tt0012952;9
tt0012952;20
tt0012952;23
tt0012973;9
tt0012975;9
tt0012975;20
tt0013033;9
tt0013059;9
tt0013059;10
tt0013059;11
tt0013059;20
tt0013075;6
tt0013075;20
tt0013085;3
tt0013085;9
tt0013085;20
tt0013122;9
tt0013134;9
tt0013140;9
tt0013140;24
tt0013169;9
tt0013201;6
tt0013201;10
tt0013223;6
tt0013223;9
tt0013223;14
tt0013332;9
tt0013332;20
tt0013367;17
tt0013372;9
tt0013386;9
tt0013402;9
tt0013402;20
tt0013404;3
tt0013428;9
tt0013428;13
tt0013442;11
tt0013442;14
tt0013450;9
tt0013469;9
tt0013469;20
tt0013496;9
tt0013496;20
tt0013515;3
tt0013515;20
tt0013556;3
tt0013556;10
tt0013556;20
tt0013571;5
tt0013571;9
tt0013571;13
tt0013571;14
tt0013574;6
tt0013574;20
tt0013579;9
tt0013579;11
tt0013579;14
tt0013579;17
tt0013579;20
tt0013590;9
tt0013590;20
tt0013592;9
tt0013597;9
tt0013597;17
tt0013607;1
tt0013607;9
tt0013607;20
tt0013607;26
tt0013619;9
tt0013662;9
tt0013662;20
tt0013674;1
tt0013674;3
tt0013674;6
tt0013688;9
tt0013688;10
tt0013688;11
tt0013688;17
tt0013688;20
tt0013704;9
tt0013705;7
tt0013705;9
tt0013741;9
tt0013741;13
tt0013750;9
tt0013750;20
tt0013802;9
tt0013802;20
tt0013830;9
tt0013909;9
tt0013933;9
tt0013933;20
tt0013951;3
tt0013951;20
tt0013951;26
tt0014029;6
tt0014029;20
tt0014108;9
tt0014109;9
tt0014109;20
tt0014112;3
tt0014112;7
tt0014112;9
tt0014142;9
tt0014142;14
tt0014142;20
tt0014205;6
tt0014205;20
tt0014341;6
tt0014341;20
tt0014341;24
tt0014358;6
tt0014397;9
tt0014416;6
tt0014416;20
tt0014417;9
tt0014429;1
tt0014429;6
tt0014429;24
tt0014440;9
tt0014440;20
tt0014446;9
tt0014446;20
tt0014463;9
tt0014497;6
