movie_id;language_id
tt0016832;64
tt0016847;168
tt0016847;78
tt0016854;168
tt0016854;64
tt0016871;168
tt0016884;168
tt0016895;168
tt0016895;64
tt0016914;168
tt0016914;78
tt0016939;168
tt0016939;64
tt0016947;168
tt0016947;64
tt0016953;168
tt0016953;78
tt0016971;168
tt0016971;64
tt0017004;168
tt0017004;64
tt0017028;168
tt0017028;64
tt0017029;168
tt0017029;64
tt0017048;168
tt0017048;106
tt0017075;168
tt0017082;168
tt0017096;168
tt0017096;105
tt0017103;168
tt0017103;64
tt0017119;168
tt0017119;64
tt0017120;168
tt0017120;64
tt0017128;168
tt0017136;168
tt0017136;78
tt0017159;168
tt0017159;198
tt0017184;168
tt0017184;64
tt0017195;168
tt0017195;215
tt0017196;168
tt0017196;72
tt0017198;168
tt0017198;64
tt0017226;168
tt0017271;168
tt0017271;198
tt0017293;168
tt0017329;168
tt0017329;64
tt0017338;168
tt0017338;78
tt0017350;168
tt0017350;64
tt0017354;168
tt0017354;64
tt0017374;168
tt0017374;64
tt0017378;168
tt0017382;168
tt0017382;64
tt0017409;168
tt0017409;64
tt0017410;168
tt0017410;64
tt0017416;168
tt0017416;64
tt0017419;168
tt0017419;64
tt0017423;168
tt0017423;64
tt0017437;168
tt0017437;64
tt0017438;168
tt0017438;78
tt0017448;168
tt0017448;78
tt0017449;168
tt0017449;64
tt0017463;168
tt0017463;64
tt0017480;168
tt0017480;64
tt0017483;168
tt0017483;64
tt0017519;168
tt0017519;64
tt0017534;168
tt0017540;168
tt0017567;168
tt0017567;64
tt0017567;226
tt0017619;168
tt0017619;64
tt0017621;168
tt0017621;78
tt0017632;168
tt0017632;64
tt0017653;168
tt0017662;168
tt0017667;168
tt0017667;64
tt0017726;168
tt0017726;78
tt0017735;168
tt0017735;64
tt0017736;168
tt0017736;72
tt0017739;168
tt0017739;64
tt0017750;168
tt0017750;64
tt0017751;168
tt0017765;168
tt0017765;64
tt0017809;168
tt0017825;64
tt0017832;168
tt0017832;64
tt0017843;168
tt0017843;64
tt0017860;168
tt0017860;64
tt0017886;64
tt0017918;168
tt0017918;64
tt0017925;168
tt0017925;64
tt0017928;168
tt0017928;64
tt0017938;168
tt0017938;72
tt0017961;168
tt0017998;168
tt0017998;64
tt0018014;168
tt0018016;168
tt0018016;64
tt0018033;168
tt0018037;64
tt0018045;168
tt0018045;72
tt0018051;168
tt0018051;64
tt0018054;64
tt0018066;168
tt0018087;168
tt0018087;78
tt0018097;168
tt0018102;168
tt0018102;64
tt0018107;168
tt0018113;168
tt0018138;168
tt0018138;64
tt0018166;168
tt0018166;64
tt0018179;168
tt0018179;64
tt0018179;143
tt0018183;168
tt0018183;64
tt0018192;0
tt0018217;168
tt0018218;168
tt0018218;64
tt0018235;168
tt0018235;64
tt0018247;168
tt0018253;168
tt0018253;64
tt0018268;168
tt0018297;168
tt0018311;168
tt0018311;64
tt0018328;168
tt0018351;168
tt0018351;64
tt0018362;168
tt0018379;168
tt0018379;64
tt0018389;168
tt0018392;168
tt0018392;64
tt0018397;168
tt0018397;64
tt0018413;168
tt0018413;64
tt0018440;168
tt0018440;64
tt0018451;168
tt0018451;64
tt0018453;168
tt0018455;64
tt0018464;168
tt0018464;64
tt0018471;168
tt0018471;64
tt0018484;168
tt0018484;64
tt0018487;168
tt0018487;64
tt0018505;168
tt0018505;198
tt0018513;168
tt0018513;64
tt0018515;168
tt0018515;64
tt0018523;168
tt0018523;72
tt0018524;168
tt0018524;64
tt0018526;168
tt0018526;64
tt0018528;168
tt0018528;64
tt0018530;168
tt0018530;64
tt0018566;64
tt0018578;64
tt0018579;168
tt0018579;64
tt0018588;168
tt0018588;78
tt0018600;168
tt0018600;143
tt0018615;168
tt0018615;78
tt0018618;168
tt0018618;64
