movie_id;director_id
tt0018045;nm0076368
tt0018051;nm0397834
tt0018051;nm0516001
tt0018051;nm0587277
tt0018051;nm0928514
tt0018054;nm0001124
tt0018066;nm0231151
tt0018066;nm0699877
tt0018087;nm0655065
tt0018097;nm0115218
tt0018102;nm0001008
tt0018107;nm0318105
tt0018107;nm0332539
tt0018113;nm0662032
tt0018138;nm0068419
tt0018166;nm0159725
tt0018179;nm0631438
tt0018183;nm0853130
tt0018192;nm0304098
tt0018217;nm0001178
tt0018217;nm0017893
tt0018218;nm0189076
tt0018235;nm0763453
tt0018247;nm0001328
tt0018253;nm0763453
tt0018268;nm0464561
tt0018297;nm0291548
tt0018311;nm0000779
tt0018328;nm0000033
tt0018351;nm0478441
tt0018362;nm0673031
tt0018379;nm0097648
tt0018389;nm0397678
tt0018392;nm0002190
tt0018392;nm0104197
tt0018397;nm0115218
tt0018413;nm0781292
tt0018440;nm0781292
tt0018451;nm0523932
tt0018451;nm0821472
tt0018453;nm0235590
tt0018455;nm0003638
tt0018464;nm0569645
tt0018471;nm0384276
tt0018484;nm0003377
tt0018487;nm0377126
tt0018505;nm0740282
tt0018513;nm0176699
tt0018515;nm0587277
tt0018523;nm0163229
tt0018524;nm0689471
tt0018526;nm0744504
tt0018526;nm0903049
tt0018528;nm0115218
tt0018530;nm0000406
tt0018566;nm0189076
tt0018578;nm0195496
tt0018578;nm0920074
tt0018579;nm0886754
tt0018588;nm0076779
tt0018600;nm0508483
tt0018600;nm0946291
tt0018615;nm0655065
tt0018618;nm0631438
tt0018678;nm0000428
tt0018684;nm0920074
tt0018722;nm0176699
tt0018737;nm0655065
tt0018742;nm0000036
tt0018742;nm0781292
tt0018749;nm0502752
tt0018756;nm0000033
tt0018770;nm0258477
tt0018773;nm0000122
tt0018795;nm0113284
tt0018795;nm0384276
tt0018826;nm0163229
tt0018836;nm0803705
tt0018839;nm0903049
tt0018841;nm0055823
tt0018862;nm0790828
tt0018876;nm0000033
tt0018879;nm0001328
tt0018882;nm0478441
tt0018907;nm0003638
tt0018908;nm0178260
tt0018908;nm0578985
tt0018908;nm0774325
tt0018909;nm0000406
tt0018910;nm0631438
tt0018927;nm0587277
tt0018935;nm0226189
tt0018937;nm0001328
tt0018972;nm0000406
tt0018990;nm0562004
tt0018996;nm0002061
tt0019043;nm0455938
tt0019067;nm0502752
tt0019071;nm0903049
tt0019074;nm0107543
tt0019096;nm0289381
tt0019098;nm0280463
tt0019098;nm0515979
tt0019109;nm0270838
tt0019127;nm0344927
tt0019130;nm0501902
tt0019151;nm0001008
tt0019152;nm0190516
tt0019182;nm0000406
tt0019186;nm0243295
tt0019195;nm0629243
tt0019237;nm0064600
tt0019254;nm0003433
tt0019258;nm0896542
tt0019286;nm0699877
tt0019290;nm0001008
tt0019304;nm0587277
tt0019312;nm0909825
tt0019325;nm0000406
tt0019335;nm0399203
tt0019344;nm0909825
tt0019374;nm0652302
tt0019379;nm0896542
tt0019388;nm0045800
tt0019400;nm0176699
tt0019412;nm0928514
tt0019415;nm0000485
tt0019421;nm0000036
tt0019421;nm0718469
tt0019429;nm0097648
tt0019434;nm0001008
tt0019434;nm0929649
tt0019451;nm0587277
tt0019451;nm0853130
tt0019451;nm0869645
tt0019462;nm0001008
tt0019480;nm0719756
tt0019489;nm0113284
tt0019509;nm0002190
tt0019532;nm0624756
tt0019553;nm0281808
tt0019557;nm0515979
tt0019558;nm0002233
tt0019563;nm0115218
tt0019571;nm0176699
tt0019574;nm0280904
tt0019574;nm0886754
tt0019585;nm0803705
tt0019591;nm0113284
tt0019609;nm0652974
tt0019611;nm0235590
