"imdb_id","french_title","original_title","year","duration","rating","num_rate","budget","synopsis","movie_id","genre_id","genre_id-2","name","movie_id-2","country_id","country_id-2","country"
"tt0090642","L'ange de la mort","Commando Mengele",1987,92,"4.1",140,NULL,"A Jewish commando unit hunting Nazi war criminals tracks down the infamous Dr. Josef Mengele in the jungle, and find that he is torturing nubile young virgins and performing horrible medical experiments on the locals. They prepare to battle their way past Mengele's hordes of fanatic Nazi bodyguards in order to get to him.","tt0090642",9,9,"Drama","tt0090642",60,60,"France"
"tt0090665","Halfaouine, l'enfant des terrasses","Asfour Stah",1990,98,"6.7",103,NULL,"A coming-of-age comedy/drama set in Tunisia. Twelve-year-old Noura is an impressionable boy who must learn to reconcile two conflicting worlds - the loving world of Muslim women and the vastly different, harsher world of men - while also dealing with his own budding sexuality.","tt0090665",9,9,"Drama","tt0090665",60,60,"France"
"tt0090671","Attention bandits!","Attention bandits!",1986,111,"6.3",310,NULL,"On the day Jean Gabin dies, a kidnaper who also takes a fortune in jewels heisted from Cartiers murders Simon Verini's wife. (Simon was fencing the jewels for a youthful gang who robbed Cartiers; he suspects them of the murder.) He's framed for the theft and spends ten years in prison, writing to his daughter, Marie-Sophie, who's 11 when he's sent away. Released, he reconnects to Marie-Sophie and to the young thieves, seeks revenge, and is quickly arrested again. She doesn't know what to make of her father, retreats to her Swiss fiancé, and is flummoxed when one of the young thieves falls for her. Is resolution possible when crime cuts across families and romance?","tt0090671",9,9,"Drama","tt0090671",60,60,"France"
"tt0090763","La bonne","La bonne",1986,82,"5.6",409,NULL,"Vicenza, 1956. Beautiful Anna, a lawyer's wife, feels abandoned by her husband, Giacomo. They live with his sick mother and she doesn't like this. She badly wants to have a child, but she is infertile. She is very shy and introverted. Their maid, Angela is the opposite, and Anna grows closer to her. She convinces Anna to try increasingly daring erotic games and gradually the two women begin a relationship which allows the wife to lose her inhibitions, and to humiliate herself.","tt0090763",9,9,"Drama","tt0090763",60,60,"France"
"tt0090815","Charlotte for Ever","Charlotte for Ever",1986,94,"5.5",671,NULL,"Once a successful Hollywood screenwriter, Stan is now a depressive alcoholic who spends most of his time mooching about his house whilst pouring out his troubles to his drinking partner. The only thing that keeps him going is his love for his teenage daughter Charlotte, but she despises him, believing him to be responsible for the accident in which her mother died. Stan's one hope is to patch things up with his daughter, but will she ever forgive him...?","tt0090815",9,9,"Drama","tt0090815",60,60,"France"
"tt0090879","Cours privé","Cours privé",1986,95,"5.5",385,NULL,"Jeanne Kern is a history teacher in a private mixed class. Passionately provocative, she does not ignore the effect she has on men.","tt0090879",9,9,"Drama","tt0090879",60,60,"France"
"tt0090932","Dernier été à Tanger","Dernier été à Tanger",1987,115,"4.5",149,NULL,"In 1956, with the independence of Morocco, the Fedala conference in Tangier is set in a city of turmoil.","tt0090932",9,9,"Drama","tt0090932",60,60,"France"
"tt0090933","Descente aux enfers","Descente aux enfers",1986,88,"5.4",456,NULL,"The marriage of the famous writer Alan and his young wife Lola is in a crisis. On a vacation in Haiti Lola wants to decide if their relationship still has a future. But since Alan doesn't succeed with his new book and gets deeper and deeper into alcoholism, she soon starts an affair. While deeply drunk, Alan kills a black who wanted to rob him...","tt0090933",9,9,"Drama","tt0090933",60,60,"France"
"tt0090944","Le diable au corps","Diavolo in corpo",1986,114,"5.9",1395,NULL,"An Italian high school student named Andrea becomes infatuated with Giulia, an older woman he sees outside his classroom window. Giulia's fiancé, a leftist radical, has been jailed and is currently on trial for political crimes. Andrea and Giulia meet, and begin rendezvousing at her apartment, where a sexual relationship quickly unfolds. The situation is complicated when the fiancé's mother realizes this, and confronts Andrea's father. Andrea's father is a psychiatrist who treats patients with psychoanalysis. He has treated Giulia in the past. The psychiatrist finds himself a victim of Giulia's sexual advances, which he attributes to madness. As a passionate affair unfolds between Giulia and Andrea, the viewer is left wondering exactly how crazy Giulia really is, and whether Giulia had an affair with the boy's father as well. Intensity of passion between Giulia and Andrea builds towards the climax. Andrea's father confronts him about this affair, but Andrea doesn't back down.","tt0090944",9,9,"Drama","tt0090944",60,60,"France"
"tt0090963","Double messieurs","Double messieurs",1986,90,"6.6",117,NULL,"At 40, François finds a little by chance a childhood friend, Leo. Twenty-five years earlier, they and their boyfriend Kuntchinsky formed a funny trio. They decide to make a ""surprise"" to Kuntchinsky and break into his villa near Grenoble.","tt0090963",9,9,"Drama","tt0090963",60,60,"France"
"tt0090986","Désordre","Désordre",1986,95,"6.5",269,NULL,"A group of young musicians burglarizes a shop and they kill a man. Most amazing thing no policeman appears in the whole movie,the boys and the girl are left with their remorse ,and their thoughts,although they try not to speak of it and to continue their burgeoning musical career .Their manager gets them signed to CBS -which is a bit far-fetched ,for their music is rather derivative ,with the exception of the final cut recorded in NYC where one of the musicians is given the ""Pete Best treatment.""","tt0090986",9,9,"Drama","tt0090986",60,60,"France"
"tt0091025","L'exécutrice","L'exécutrice",1986,86,"4.2",135,NULL,"Martine is a tough female cop trying to solve the kidnapping of young Caroline by a gang of pornographers. She already has an accomplice inside the gang feeding her information, but progress is hindered by her own police commissioner. In her private live, Martine likes to hang around with her male colleagues, swapping a younger cop for the more mature and experienced Jean.","tt0091025",9,9,"Drama","tt0091025",60,60,"France"
"tt0091035","Fatherland","Fatherland",1986,111,"6.3",427,NULL,"Persona Non Grata in his homeland, protest singer Klaus Drittemann must leave East Berlin, his wife and child and emigrate to West Berlin, where the representatives of an American record company are eagerly waiting for him. They plan to exploit his defection from communism both ideologically and financially. But Klaus, as ill-at-ease in the West as he was in the East, is reluctant to be used as an expendable commodity. Leaving his contract unsigned (or signed in his manner), he leaves for Cambridge to meet his father, a concert player, who -just like him - left East Berlin thirty years ago as Klaus was a little boy. He is accompanied by a young French journalist, Emma, who knows where his father has been living since he disappeared for more than a decade. The young lady is cooperative but might hide things from him...","tt0091035",9,9,"Drama","tt0091035",60,60,"France"
"tt0091038","La femme de ma vie","La femme de ma vie",1986,102,"6.1",189,NULL,"Simon, a famous violinist in a symphonic orchestra, becomes a drunkard, he is abandoned by his wife and he is not able to play any more. One night he gets lost on his way back home and meets Pierre a man who has gone through his same experience. Pierre takes Simon to his house by the sea and helps him to kick his habit.","tt0091038",9,9,"Drama","tt0091038",60,60,"France"
"tt0091093","Les Fugitifs","Les fugitifs",1986,95,"7.1",6217,NULL,"Coming out from jail, Lucas has decided to change his life and behave like a good citizen. But when he is taken hostage in a bank by a hare-brained robber, no cops can believe he is not part of this action.","tt0091093",9,9,"Drama","tt0091093",60,60,"France"
"tt0091105","Genesis","Genesis",1986,105,"6.8",112,NULL,"A parable of man's exploitation of his fellow man. A weaver and a farmer live peacefully on the edge of a desert until, one day, a woman wanders into their world, and her presence slowly disrupts their routine existence.","tt0091105",9,9,"Drama","tt0091105",60,60,"France"
"tt0091113","Ginger et Fred","Ginger e Fred",1986,125,"7.3",4804,NULL,"Amelia and Pippo are reunited after several decades to perform their old music-hall act (imitating Fred Astaire and Ginger Rogers) on a TV variety show. It's both a touchingly nostalgic journey into the past, and a viciously satirical attack on television in general and Italian TV in particular, portraying it as a mindless freakshow aimed at morons","tt0091113",9,9,"Drama","tt0091113",60,60,"France"
